"","deposit","filter","grazer","parasite","plankton","predator","scavenger","suspension","xylophagous"
"Holtbyrnia anomala",0,0,0,0,0,0,0,0,0
"Homola minima",0,0,0,0,0,0,0,0,0
"Howella brodiei",0,0,0,0,0,0,0,0,0
"Ichnopus",0,0,0,0,0,0,0,0,0
"Keratoisis ornata",0,0,0,0,0,0,0,0,0
"Laminaria digitata",0,0,0,0,0,0,0,0,0
"Laminaria longicruris",0,0,0,0,0,0,0,0,0
"Leathesia difformis",0,0,0,0,0,0,0,0,0
"Lebbeus zebra",0,0,0,0,0,0,0,0,0
"Leptasterias",0,0,0,0,0,0,0,0,0
"Lophaster furcifer",0,0,0,0,0,0,0,0,0
"Lophelia pertusa",0,0,0,0,0,0,0,0,0
"Macrorhamphosus scolopax",0,0,0,0,0,0,0,0,0
"Macrostomias longibarbatus",0,0,0,0,0,0,0,0,0
"Mediaster bairdi",0,0,0,0,0,0,0,0,0
"Monolene sessilicauda",0,0,0,0,0,0,0,0,0
"Monstrilla",0,0,0,0,0,0,0,0,0
"Neptunea",0,0,0,0,0,0,0,0,0
"Oncopagurus",0,0,0,0,0,0,0,0,0
"Ophiomusa lymani",0,0,0,0,0,0,0,0,0
"Oplophorus spinosus",0,0,0,0,0,0,0,0,0
"Pachycerianthus borealis",0,0,0,0,0,0,0,0,0
"Palmaria palmata",0,0,0,0,0,0,0,0,0
"Paragorgia arborea",0,0,0,0,0,0,0,0,0
"Parapasiphae sulcatifrons",0,0,0,0,0,0,0,0,0
"Parathemisto",0,0,0,0,0,0,0,0,0
"Pentamera calcigera",0,0,0,0,0,0,0,0,0
"Phronima",0,0,0,0,0,0,0,0,0
"Plutonaster agassizi",0,0,0,0,0,0,0,0,0
"Polymetme corythaeola",0,0,0,0,0,0,0,0,0
"Pontaster",0,0,0,0,0,0,0,0,0
"Porania pulvillus",0,0,0,0,0,0,0,0,0
"Poraniomorpha",0,0,0,0,0,0,0,0,0
"Primnoa resedaeformis",0,0,0,0,0,0,0,0,0
"Pseudoscopelus",0,0,0,0,0,0,0,0,0
"Radicipes gracilis",0,0,0,0,0,0,0,0,0
"Rouleina attrita",0,0,0,0,0,0,0,0,0
"Rouleina maderensis",0,0,0,0,0,0,0,0,0
"Saccorhiza dermatodea",0,0,0,0,0,0,0,0,0
"Sclerasterias tanneri",0,0,0,0,0,0,0,0,0
"Sertularia polyzonias",0,0,0,0,0,0,0,0,0
"Simenchelys parasitica",0,0,0,0,0,0,0,0,0
"Spinolambrus pourtalesii",0,0,0,0,0,0,0,0,0
"Spirontocaris fabricii",0,0,0,0,0,0,0,0,0
"Stereoderma unisemita",0,0,0,0,0,0,0,0,0
"Stereomastis sculpta",0,0,0,0,0,0,0,0,0
"Tealia felina",0,0,0,0,0,0,0,0,0
"Thyonella pervicax",0,0,0,0,0,0,0,0,0
"Ulva",0,0,0,0,0,0,0,0,0
"Venefica procera",0,0,0,0,0,0,0,0,0
"Venericardia borealis",0,0,0,0,0,0,0,0,0
"Vomer setapinnis",0,0,0,0,0,0,0,0,0
"Xenolepidichthys dalgleishi",0,0,0,0,0,0,0,0,0
"Zostera marina",0,0,0,0,0,0,0,0,0
